Identifier,LeadID,Industry,Bank_Name,description,transaction_type,amount,B2C_KW_Category,Yodlee_Category
1,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx7644,debit,856,TRANSFERS,Transfers
2,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,317.66,TRADE REVENUE,Other Income
3,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,538.73,TRADE REVENUE,Uncategorized
4,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx3856,debit,1279,TRANSFERS,Transfers
5,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,22.84,TRADE REVENUE,Other Income
6,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,73.83,TRADE REVENUE,Uncategorized
7,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1277.65,TRADE REVENUE,Uncategorized
8,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,295.14,TRADE REVENUE,Uncategorized
9,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSSTL xxxxxxxxx1252 CCD ID: xxxxxx0042,debit,390.95,TRADE PAYMENTS,Travel
10,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,9.52,TRADE REVENUE,Other Income
11,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,28.28,TRADE REVENUE,Other Income
12,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx9491,debit,7772,TRANSFERS,Transfers
13,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,885.68,TRADE REVENUE,Uncategorized
14,2369,Health Care and Social Assistance,Dag Site - Bank,SERVICE FEE,debit,18,SERVICE CHARGES/FEES,Service Charges/Fees
15,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,373.66,TRADE REVENUE,Other Income
16,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1172.43,TRADE REVENUE,Uncategorized
17,2369,Health Care and Social Assistance,Dag Site - Bank,PRIME MERIDIAN JINDELI JINDELI JEWELRY CCD ID: xxxxxx4623,debit,230.16,LOANS,Personal/Family
18,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,429.89,TRADE REVENUE,Other Income
19,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,819.07,TRADE REVENUE,Uncategorized
20,2369,Health Care and Social Assistance,Dag Site - Bank,PRIME MERIDIAN JINDELI JINDELI JEWELRY CCD ID: xxxxxx4623,debit,230.16,LOANS,Personal/Family
21,2369,Health Care and Social Assistance,Dag Site - Bank,U. P. S. UPS BILL 1xxxx0000F586Y7 CCD ID: xxxxxx0436,debit,96.16,POSTAGE AND SHIPPING,Postage/Shipping
22,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,277.42,TRADE REVENUE,Other Income
23,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,761.44,TRADE REVENUE,Uncategorized
24,2369,Health Care and Social Assistance,Dag Site - Bank,U. P. S. UPS BILL 1xxxx0000F586Y7 CCD ID: xxxxxx0436,debit,2.38,POSTAGE AND SHIPPING,Postage/Shipping
25,2369,Health Care and Social Assistance,Dag Site - Bank,U. P. S. UPS BILL 1xxxx0000F586Y7 CCD ID: xxxxxx0436,debit,9.79,POSTAGE AND SHIPPING,Postage/Shipping
26,2369,Health Care and Social Assistance,Dag Site - Bank,CHECK 1970,debit,1901.49,CHECKS,Check Payment
27,2369,Health Care and Social Assistance,Dag Site - Bank,PRIME MERIDIAN JINDELI JINDELI JEWELRY CCD ID: xxxxxx4623,debit,230.16,LOANS,Personal/Family
28,2369,Health Care and Social Assistance,Dag Site - Bank,SERVICE FEE,debit,18,SERVICE CHARGES/FEES,Service Charges/Fees
29,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,64,TRADE REVENUE,Other Income
30,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,388.8,TRADE REVENUE,Uncategorized
31,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,518.96,TRADE REVENUE,Other Income
32,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,788.74,TRADE REVENUE,Uncategorized
33,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,222.83,TRADE REVENUE,Uncategorized
34,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,931.27,TRADE REVENUE,Uncategorized
35,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,220.31,TRADE REVENUE,Uncategorized
36,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1081.18,TRADE REVENUE,Uncategorized
37,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,482.68,TRADE REVENUE,Other Income
38,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,887.46,TRADE REVENUE,Uncategorized
39,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,101.22,TRADE REVENUE,Other Income
40,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1179.62,TRADE REVENUE,Uncategorized
41,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,289.3,TRADE REVENUE,Other Income
42,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6126,debit,5526,TRANSFERS,Transfers
43,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,253.38,TRADE REVENUE,Uncategorized
44,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1206.63,TRADE REVENUE,Uncategorized
45,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,60.71,TRADE REVENUE,Uncategorized
46,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,689.47,TRADE REVENUE,Uncategorized
47,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,964.11,TRADE REVENUE,Uncategorized
48,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,217.79,TRADE REVENUE,Other Income
49,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1564.93,TRADE REVENUE,Other Income
50,2369,Health Care and Social Assistance,Dag Site - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,278.99,TRADE REVENUE,Uncategorized
51,2369,Health Care and Social Assistance,Dag Site - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,1099.85,TRADE REVENUE,Other Income
52,2369,Health Care and Social Assistance,Dag Site - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx8730,debit,3213,TRANSFERS,Transfers
