Identifier,LeadID,Industry,Bank_Name,description,transaction_type,amount,B2C_KW_Category,Yodlee_Category
X1,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,54.92,TRADE REVENUE,Other Income
X2,4412,Wholesale Trade,Chase - Bank,ONLINE INTERNATIONAL WIRE TRANSFER A/C: BANK OF CHINA LIMITED HE,debit,10000,TRANSFERS,Transfers
X3,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx6355,credit,7377,TRANSFERS,Transfers
X4,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6355,debit,7377,TRANSFERS,Transfers
X5,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1926.37,TRADE REVENUE,Uncategorized
X6,4412,Wholesale Trade,Chase - Bank,CHECK 1872,debit,1242.72,CHECKS,Checks
X7,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,607.23,TRADE REVENUE,Uncategorized
X8,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx6867,credit,1807,TRANSFERS,Transfers
X9,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx6867,debit,1807,TRANSFERS,Transfers
X10,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,1200.53,TRADE REVENUE,Uncategorized
X11,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,250.87,TRADE REVENUE,Other Income
X12,4412,Wholesale Trade,Chase - Bank,USCIS CHICAGO PAYMENT 1895CCD ID: xxxxxx0301,debit,420,CREDIT CARD PAYMENTS,Credit Card Payments
X13,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,636.45,TRADE REVENUE,Uncategorized
X14,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,221,TRADE REVENUE,Other Income
X15,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx8337,credit,1565,TRANSFERS,Transfers
X16,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx8337,debit,1565,TRANSFERS,Transfers
X17,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,456.69,TRADE REVENUE,Uncategorized
X18,4412,Wholesale Trade,Chase - Bank,IRS USATAXPYMT xxxxxxxxxxx3279 CCD ID: xxxxxx2000,debit,1339.72,TAXES,Taxes
X19,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,710.91,TRADE REVENUE,Uncategorized
X20,4412,Wholesale Trade,Chase - Bank,American Express ACH PMT M7250 WEB ID: xxxxxx2111,debit,811,CREDIT CARD PAYMENTS,Credit Card Payments
X21,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,312.94,TRADE REVENUE,Other Income
X22,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx4419,credit,1637,TRANSFERS,Transfers
X23,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx4419,debit,1637,TRANSFERS,Transfers
X24,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,926.06,TRADE REVENUE,Uncategorized
X25,4412,Wholesale Trade,Chase - Bank,BIGCOMMERCE.COM xxx-xxx1350 TX12/15,debit,149.95,ONLINE SERVICES,Online Services
X26,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,780.94,TRADE REVENUE,Uncategorized
X27,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,2129.62,TRADE REVENUE,Uncategorized
X28,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,379.21,TRADE REVENUE,Uncategorized
X29,4412,Wholesale Trade,Chase - Bank,AMERICAN EXPRESS SETTLEMENT xxxxxx9665 CCD ID: xxxxxx2250,credit,808.6,TRADE REVENUE,Other Income
X30,4412,Wholesale Trade,Chase - Bank,UNITED MS UNITDMSDEP xxxxxxxxx1252 CCD ID: xxxxxx0042,credit,263.5,TRADE REVENUE,Uncategorized
X31,4412,Wholesale Trade,Chase - Bank,DEPOSIT,credit,383.25,DEPOSITS,Deposits
X32,4412,Wholesale Trade,Chase - Bank,Online Transfer from CHK ...4310transaction#: xxxxxx0856,credit,4412,TRANSFERS,Transfers
X33,4412,Wholesale Trade,Chase - Bank,Online Transfer to CHK ...4328 transaction#: xxxxxx0856,debit,4412,TRANSFERS,Transfers
